reviews,class
"a remake of the 1978 warren beatty vehicle "" heaven can wait "" ( which in turn was a remake of "" here comes mr . jordan "" ) , "" down to earth "" tells the tale of lance barton ( chris rock , "" lethal weapon iv "" ) , a young black standup comic trying to win over the audience at harlem's apollo theater . 
",negative
"what would you do if no one could see you ? 
",negative
"roger ebert asks in his review of sexy beast , "" who would have guessed that the most savage mad-dog frothing gangster in recent movies would be played by . . . 
",negative
"apparantly money talks . 
",negative
"starting with the little mermaid and most recently the lion king , the walt disney company once again proved that they could not only consistently make modern day animated classics , but were particularly in touch with what the general viewing public--particularly kids-- wanted to see . 
",negative
"plot : upon the realization that they are failing all of their classes , two roommates try to find a third roomie who will kill himself , since the school's charter automatically grants top grades to the roommates of any student who succeeds in suicide . 
",negative
"when respecting a director , you must also respect the fact that they are not perfect . 
",negative
"you don't need to have seen the original "" species "" to appreciate how utterly lousy "" species ii "" is . 
",negative
" "" something is fishy in the state of universal . "" 
",negative
"this season needs another serial killer movie like kathie lee gifford needs more public devastation . 
",negative
"plot : a separated , glamorous , hollywood couple must pretend to reunite for a press junket of the last movie that they ever shot together . 
",negative
"some talented actresses are blessed with a demonstrated wide acting range while others , almost as gifted , have more limited types of parts for which they are suitable . 
",negative
"susan granger's review of "" ghosts of mars "" ( sony pictures entertainment ) 
",negative
"plot : based on the wildly popular "" jerry springer "" tv show , this movie follows the lives of two groups of people before they make their bizarre appearances on the infamous program . 
",negative
"i never understood what the clich ? "" hell on earth "" truly meant until very recently . 
",negative
"about an hour or so into "" the jackal , "" a character wandered around as people were being shot at in a big suspense sequence , and one of the audience members in the theatre i saw it in shouted out "" i hope she gets killed now ! "" 
",negative
" "" showgirls "" is the first big-budget , big-studio film to receive an nc-17 rating . 
",negative
"here's a concept -- jean-claude van damme gets killed within the first ten minutes of the movie . 
",negative
"what makes reindeer games even more disappointing than just a predictable , lifeless action flick is the cast and crew who signed onto the project . 
",negative
" ( dreamworks skg ) running time : 2 hours starring robert duvall , tea leoni and elijah wood directed by mimi leder the first of the two asteroid movies coming out this year ( the second is the macho armageddon ) is actually a dull affair . 
",negative
"seen may 2 , 1998 at 3 : 40 p . m . at the crossgates cinema 18 , theater #13 , with chris wessell and sean o'shea for $5 . 
",negative
"the only thing worse than watching a bad movie is realizing that the film had a lot of potential and could've been effective . 
",negative
"my opinion on a film can be easily swayed by the presence of actors i love . 
",negative
"if snake eyes were a dog , you'd put it to sleep . 
",negative
"the last line ( or near to that honor ) is the great butler , alfred ( the ubergod , michael gough ) saying , "" i think we need a bigger bat cave , "" or something to that note . 
",negative
"writers : dennis feldman and jonathan hensleigh ( based on the comic book by chuck pfarrer ) 
",negative
"deuce bigalow ( rob schneider ) cleans fish tanks . 
",negative
"this is your definitive "" hollywood "" movie , extremely predictable , following the basic formula ( a horrible ending ) , overzealous writing ( meaning the writing was bad and seemed as if it were trying too hard to make it exciting , therefore making it look as if many things were merely tossed in there to fill space ) and if tommy lee jones and his lovable wise-ass character ( of which we've seen before in the fugitive and quite frankly , wasn't used enough here ) , i'm afraid the film would have been completely unbearable . 
",negative
"dead-bang , an action thriller starring don johnson , lives up to its dumb title , or at least to half of it . 
",negative
"it was once said that in order to truly enjoy some of todays movies or novels , you must suspend disbelief .  
",negative
" "" some houses are born bad , "" goes the haunting's tag line , to which i must add , "" some movies , too . "" 
",negative
"play it to the bone is a punch-drunk mess of a movie . 
",negative
"i have no real tangible proof of this , but i swear that there are a lot of producers in hollywood who adamantly believe that if you take a bad script , written by a bad writer and give the project it to an equally bad director , then it is actually possible to make a good movie . 
",negative
"when i originally saw the trailer for "" analyze this "" a few months ago , i must admit , i thought it looked kind of lame . 
",negative
"jean-claude van damme movies tend to be , if nothing else , a lot of mindless fun . 
",negative
"in "" twilight , "" a ex-alcoholic , ex-cop , ex-husband , ex-private-eye , harry ross ( paul newman ) , works for a pair of aging hollywood actors , catherine ( susan sarandon ) and jack ames ( gene hackman ) . 
",negative
"there was probably a good reason that the warner bros . studio chose not to allow critics to view this steven seagal film when it first opened . 
",negative
"tom dicillo directs this superficial comedy about superficial people in superficial careers , all searching for deeper meaning . 
",negative
"the ads for "" batman and robin "" scream "" the event of the summer is here "" and that's the problem . 
",negative
" "" gordy "" is not a movie , it is a 90-minute-long "" sesame street "" skit , and a very bad one at that . 
",negative
"senseless ( r ) marlon wayans is a very talented physical comedian , and it is that gift that brings senseless moments of life . 
",negative
"a slight romantic comedy with a feminist bent , but one with no edge to it . 
",negative
"if you're the kind of person who goes to see movies just because you long for some of that overpriced theatre popcorn ( butter optional ) , then this is the movie for you ! 
",negative
"synopsis : when a meteorite crashlands in the arizona desert , community college professors ira kane ( duchovny ) and harry block ( jones ) are first on the scene . 
",negative
"deceiver is a plot twist in search of a movie . 
",negative
"this is the kind of movie that makes one appreciate disney's live- action george of the jungle . 
",negative
" "" desperate measures "" is a generic title for a film that's beyond generic . 
",negative
"robin williams is a comedic genus . 
",negative
"ever watch a very young child try and tell a joke that is beyond his , or her , sophistication ? 
",negative
"what are we going to do with jim carrey ? 
",negative
"there are some pretty impressive stars in lost in space - it's just that none of them happen to be actors . 
",negative
"so , it's thirty years later , and oscar and felix are together again . 
",negative
"except for a few bright moments of good verbal comedy , that old feeling is embarrassing to sit through . 
",negative
"maybe this mission should have been scrubbed 
",negative
"mulholland drive did very well at the cannes film festival . 
",negative
"ingredients : possessed plastic dolls in love , plastic dolls having sex 
",negative
"watching the movie , i vowed to subtract half a star from the review because the filmmakers included a saccharine syrup , cute 'n cuddly , computer-generated monkey . 
",negative
"i was going to see ram shrasta on the big screen last night , but before that i stopped into my video store to rent some movies . 
",negative
"starship troopers is a bad movie . 
",negative
"capsule : one of the ten worst movies ever made . 
",negative
"hello kids . 
",negative
"deserves recognition for : achieving the near-impossible task of making a grander monument to self-love than steven seagal's on deadly ground . 
",negative
"starring ben stiller , elizabeth hurley , maria bello , janeane garofalo screenplay by david veloz , based on the novel by jerry stahl directed by david veloz 
",negative
"the camera zooms in incredibly close . 
",negative
" "" goodbye , lover "" sat on the shelf for almost a year since its lukewarm reception at the cannes film festival last may , and one look will tell you why . 
",negative
"as with any gen-x mtv movie ( like last year's dead man on campus ) , the movie is marketed for a primarily male audience as indicated by its main selling points : sex and football . 
",negative
"nicolas cage comes up with an ingenious survival mechanism for his role in the wink-and-a-concussive-nudge bombast-o-rama con air . 
",negative
"a big house . 
",negative
"it's always a bad sign when the core audience of a film -- children -- are either walking out early or are half-asleep when the credits roll at the end of a film . 
",negative
" "" the animal "" is a marginally inspired comedy that only manages to lumber along , generating just enough momentum to keep it from stalling . 
",negative
"romeo is bleeding wants to carry the unusual flavor of reservoir dogs or bad lieutenant . 
",negative
"54 is dull , perfunctory , uninspired , and boring . 
",negative
"an experience like baby geniuses can have certain effects on an average moviegoer . 
",negative
" "" houston . we have a serious problem . "" 
",negative
"gun wielding arnold schwarzenegger has a change of heart by the film's end and becomes a believer in god instead of a skeptic , going through an amazing transformation by having a christian epiphany in the final scene as he becomes someone who can now beat the devil by his faith alone . . . this is after two hours of throwing people out windows and shooting more people than your average serial killer . 
",negative
"after enduring mariah carey's film debut , glitter , i'm reminded of a bit from chris rock's bigger and blacker . 
",negative
"poster boy for co-dependency needs patching 
",negative
"young einstein is embarrassingly lame , but that didn't stop it from becoming a phenomenon in australia , where it became the third largest box office hit of all time . 
",negative
"this is the last carry on film with its almost intact regular cast and it is the swansong of hattie jacques and sid james . 
",negative
"one of the first films of 1999 is this mtv pictures release which marks the first leading feature role for james van der beek , the star of the wb's runaway hit dawson's creek . 
",negative
"susan granger's review of "" america's sweethearts "" ( columbia/sony ) 
",negative
"susan granger's review of "" jeepers creepers "" ( mgm/ua entertainment ) 
",negative
"this independent film written and directed by eric bross has the look and feel of all those other troubled blue-collar youth films that have inundated the market in recent times . 
",negative
"come on hollywood , surprise me . 
",negative
"capsule : the much anticipated re-adaptation of the pierre boulle novel comes to the screen as a dark and a little dreary film with lots of chases and fighting , but very little intelligence . 
",negative
"i wish i could accurately describe the theme music for part 3 . 
",negative
"jessica lange is one of the most inconsistent actresses working today . 
",negative
"synopsis : sonny koufax ( adam sandler ) is a rich , childish , angry man who has just been dumped by his girlfriend vanessa ( kristy swanson ) . 
",negative
"certainly no one would rent ed wood's glen or glenda ? 
",negative
"the second serial-killer thriller of the month is just awful . 
",negative
"this is my first review that i post to this newsgroup , and i kind of feel like i have to say something negative about this film . 
",negative
"for "" original sin , "" the road to the screen has been rocky . 
",negative
"one would think that david duchovny , star of the cult favorite "" x-files "" would be very careful in choosing his leading man cinema roles . 
",negative
" "" i would appreciate it if you didn't do that again . "" 
",negative
"the rich legacy of cinema has left us with certain indelible images . 
",negative
"tim robbins and martin lawernce team up in this road movie comedy . 
",negative
"capsule : not as bad a sequel as crow 2 or batman & robin , but still horribly putrid , cheesy and ill-conceived . 
",negative
"in "" the astronaut's wife , "" charlize theron plays a young woman with a nervous demeanor , pixie-hairdo and demon spawn unwittingly growing in her belly . 
",negative
"for a good ten years or so , super cool chow yun fat has enjoyed god hood status in the hong kong action scene . 
",negative
"libby parsons ( ashley judd ) has the perfect little life -- a rich husband , a cute son , and a house on the ocean -- but when her husband nick ( bruce greenwood ) takes her sailing , she awakes to find him gone and her hands covered with blood . 
",negative
"as far as "" mystery men "" is concerned , the burning question is less "" is it really as bad as it looks from the trailer ? "" 
",negative
"the swirling sick feeling hit me just a few minutes into "" heartbreakers . "" 
",negative
" "" american pie "" alums jason biggs and mena suvari star in this summer's attempt to capitalize on the youth market looking for a comedy about young people they can relate to that combines generic hollywood cute couple-ness and zany comedy . 
",negative
"last summer , a feature-length version of the avengers hit theaters to the tune of a unanimous critical panning . 
",negative
"at the outset of swordfish , john travolta's gabriel shear is pontificating about the status of american cinema today . 
",negative
"it's probably inevitable that the popular virtual reality genre ( "" the matrix , "" "" existenz "" ) would collide with the even more popular serial-killer genre ( "" kiss the girls , "" "" se7en "" ) . 
",negative
"synopsis : an aging master art thief , his supplier , and a young , buxom security consultant are all not who they first appear to be ( or are they ? ) in this convoluted mess involving a risky heist during the millennium . 
",negative
"the first image in "" final fantasy : the spirits within "" is a computer-animated close-up of a human eye . 
",negative
"plot : token director alan smithee steals the only copy of his film "" trio "" from the studio , after they complete the "" final cut "" without him . 
",negative
"plot : a rich guy who doesn't believe in love , orders a mail-order bride for himself . 
",negative
"not a great twelve months for either of the principals from this movie . 
",negative
"the stereotypical american male has an undeniable fetishistic love of sports cars . 
",negative
"first and foremost i think this movie comes to grief at the hands of the pg rating it's been given . 
",negative
"it's amazing how a comedian can have the some of the funniest stand-up around but completely fall flat in the movies . 
",negative
"according to popular film opinion , a film's greatness is determined by time . 
",negative
"by trying to satisfy every kind of viewer , it's possible that sphere may end up pleasing no one . 
",negative
"shakespeare in love is quite possibly the most enjoyable period piece ever made for the silver screen . 
",negative
"at times , you'd think edtv would be an entertaining film . 
",negative
"five years after his directorial debut based on stephen king's writings called the shawshank redemption ( 9/10 ) , writer/director frank darabont returns to the big screen with another prison film based on the famous scribblings of stephen king . 
",negative
"synopsis : a small town thug convinces a dimwitted high-school student to spy on his girlfriend , who is babysitting three unruly kids for their alcoholic parents on a friday night . 
",negative
"working in the motion picture industry must be a constant source of frustration for a front-line african american actress like jada pinkett smith . 
",negative
"there is a scene early in jakob the liar that hints at how much better it could have been . 
",negative
"first troy beyer wrote the critically panned "" b . a . p . s . "" 
",negative
"susan granger's review of "" mulholland drive "" ( universal focus ) 
",negative
"georges polti once wrote a paper called "" the thirty-six dramatic situations , "" in which he asserted the fact that all drama could be defined by no more than thirty-six different situations . 
",negative
"the most popular trend of the last couple of years has been the twist ending . 
",negative
" "" spice world "" is just one long promotional film for the british girl band the spice girls . 
",negative
"i read the new yorker magazine and i enjoy some of their really in-depth articles about some incident . 
",negative
"i should have known , damn it , i should have known . 
",negative
"as bad as "" mimic "" was , it definitly scared me . 
",negative
"darren ( jason biggs ) , wayne ( steve zahn ) , and j . d . ( jack black ) have been best friends since the fifth grade . 
",negative
" "" an intimate , character-driven drama about a troubled youth at a crossroads in his life , "" read the press notes for _reach_the_rock_ . 
",negative
"vampire's is a rude , chauvinistic movie where women are portrayed as pawns of abuse , present only to pleasure men , feed vampires , readied to be bashed or beaten - till one's sensibilities is shocked by the low iq and mentality of this regressive movie . 
",negative
"synopsis : blond criminal psychologist sarah chooses to copulate with greasy tony the mysterious puerto rican rather than bearded cliff the wisecracking neighbor upstairs . 
",negative
"a sensuous romantic comedy , about as appealing as your average lightweight tv sitcom . 
",negative
"let me just start this review off by saying i am a huge fan of professional wrestling and have been for fifteen years . 
",negative
"battlefield long , boring and just plain stupid 
",negative
"hey , i've got a great idea for a movie ! 
",negative
"even the best comic actor is at the mercy of his or her material , as this subpar submarine comedy proves . 
",negative
"movies don't come much more ridiculously titled than "" i still know what you did last summer , "" but since the movie in question is best described as ridiculous , the title sort of works as a warning . 
",negative
"synopsis : a humorless police officer's life changes when he befriends a super-smart , super-adorable golden retriever named einstein and a cute , young blond scientist . 
",negative
"you should have heard the old guys in the crowded bathroom following the "" odd couple ii "" sneak preview . 
",negative
"the army comedy genre has never turned out a truly good movie ( if you don't count neil simon's biloxi blues ) . 
",negative
" "" mercury rising "" has numerous flaws , but there is one that really stands out : its central plot device is unnecessary . 
",negative
"i have never been a "" star trek "" fan , and , to tell the truth , out of the five films in the series that i have seen ( 1 , 2 , 3 , 8 , 9 ) , i have disliked all of them . 
",negative
"while the summer movie season approached its long awaited cessation , we had yet another shoddy , subordinate disposable celluloid superhero movie brought on by the inexorable hasten from the major studios to please kids with everything they think kids will go for to disburse their seven bucks . 
",negative
"it's not a bad thing to update old stories . 
",negative
"i suppose it's unfair to criticize a movie like hudson hawk , which has been panned by reviewers and moviegoers alike since it's 1991 release . 
",negative
"if there were a subject just screaming to be made into a film , it was studio 54 , the late steve rubell's infamous new york discotheque , which came to symbolize the taboo-smashing excesses of the disco era's heyday : easy drugs and even easier sex between everyone , all set to a thumping dance beat . 
",negative
"a hotshot lawyer gets an obviously guilty child molester acquitted , and shortly after during the victory celebration gets offered an opportunity to show his prowess in new york city . 
",negative
"the spy game is up . 
",negative
"i have always been a fan of director neil jordan , from his early work , such as 1984's "" the company of wolves , "" to 1992's "" the crying game , "" and 1994's "" interview with a vampire . "" 
",negative
"as you should know , this summer has been less than memorable . 
",negative
"if i were one of those arrogant critics who thinks his review has some great impact on the success or failure of certain films , i might say that i review movies that don't look particularly good because i'm doing a service to my readers by warning them against seeing it . 
",negative
"for timing reasons having to do with baby sitters , we recently went to a multiplex and saw undercover blues . 
",negative
"the obvious reason for producing a sequel to an immensely popular movie is to acquire continued profits . 
",negative
"i'm a dedicated fan of writer kevin williamson's work . 
",negative
"a film that means well , but is too pushy in promoting its belabored point and too sentimental to be compelling as a drama . 
",negative
"the tagline for this film is : "" some houses are just born bad "" . 
",negative
"porter stoddard ( warren beatty ) is a successful architect married to successful fabric designer ellie ( diane keaton ) for twenty-five years . 
",negative
" * * the following review contains spoilers * * 
",negative
"there have been bad films in recent years : 'mr . 
",negative
"it would be hard to choose the best american political thriller . 
",negative
"the main problem with martin lawrence's pet project , a thin line between love and hate , like any fatal attraction variation where the protagonist is a man , is that his character is an irresponsible jerk , and if that is the case , it doesn't seem to do anything except justify the woman's actions . 
",negative
"capsule : lesbianism examined in the same hushed and reverential tones reserved for a terminal illness . 
",negative
"the great actor james woods once said ( and i'm paraphrasing ) , "" if sex isn't messy , then you're not doing it right "" . 
",negative
"the premise of turbulence is i'm sure very familiar to us all . 
",negative
"a movie laced with a good blend of action , comedy , and a heavy dose of musical celebrity guest appearances sounds pretty gourmet , but even the best ingredients can be thrown together in the wrong way , creating a dismal and unsatisfactory product . 
",negative
"if only austin powers : the spy who shagged me had been just half as original , zany , silly and totally enjoyable as its predecessor , it would have easily been one of this summer's biggest pleasures . 
",negative
"in the series of the erotic thrillers that flooded the videoshelves in the early 1990s came this french-canadian co-production by max fischer . 
",negative
"here i sit at my computer about to write my review of the recent action comedy "" bait "" starring jamie foxx and david morse . 
",negative
"tv's buffy finds herself on the other side of the supernatural spectrum in "" simply irresistible . "" 
",negative
"the 13th warrior reeks so badly of melodrama and poor acting that it carries a worst scent than a canine's least appetizing residue . 
",negative
"i've heard it called "" jaws with claws "" and that's a fair summation of the plot , though that tag line does little to quantify quality . 
",negative
"billy crystal reappears in yet another high concept comedy . 
",negative
"movies can do the two big es very well : educate and entertain . 
",negative
"capsule : an insult . 
",negative
"alexander dumas' the three musketeers is one of the most often-adapted literary works , and for good reason : the swashbuckler is a legend rather than just a story . 
",negative
"in this re-make of the 1954 japanese monster film , godzilla is transformed into a "" jurassic park "" copy who swims from the south pacific to new york for no real reason and trashes the town . 
",negative
"when i first saw the preview for cruel intentions , i turned to my friend and said , "" dangerous liaisons for kids ! "" 
",negative
"everyone knows that old rule , 'never work with children and animals . ' 
",negative
"this movie tries to present itself as the sequel to jan de bont's debut as a director , 1994 surprise hit speed . 
",negative
"it's tough to be an aspiring superhero in champion city . 
",negative
"8mm , written by seven scribe andrew kevin walker , has an interesting idea which is ruined by hollywood formula to become a bog standard murder mystery . 
",negative
"your first clue that something isn't gonna be quite right with the movie you're about to see : it's heavily christmas-themed and its release date is , oh , say , at the end of february . 
",negative
"carry on at your convenience is all about the goings-on in the factory of a toilet manufacturer , wc boggs ( kenneth williams ) . 
",negative
"the tagline for this film is : "" some houses are just born bad "" . 
",negative
